,symbol,symbol_anonym,sector
717,NYMTL,717,Real Estate
718,IAF-PI.TO,718,Financial Services
719,LEVI,719,Consumer Cyclical
720,YRI.TO,720,Basic Materials
721,KIM-PL,721,Real Estate
722,ARW,722,Technology
723,ADT,723,Industrials
724,COF-PL,724,Financial Services
725,MEG.TO,725,Energy
726,BOKF,726,Financial Services
727,HOG,727,Consumer Cyclical
728,CR,728,Industrials
729,EQH-PC,729,Financial Services
730,CIB,730,Financial Services
731,NXST,731,Communication Services
732,COF-PN,732,Financial Services
733,MTDR,733,Energy
734,LI.PA,734,Real Estate
735,BYD,735,Consumer Cyclical
736,BRX,736,Real Estate
737,AXTA,737,Basic Materials
738,RH,738,Consumer Cyclical
739,FTI,739,Energy
740,NCLH,740,Consumer Cyclical
741,HESM,741,Energy
742,CW,742,Industrials
743,YNDX,743,Communication Services
744,NYMTZ,744,Real Estate
745,DOOO,745,Consumer Cyclical
746,ACHC,746,Healthcare
747,MHK,747,Consumer Cyclical
748,LFUS,748,Technology
749,OLED,749,Technology
750,WH,750,Consumer Cyclical
751,KRTX,751,Healthcare
752,RRC,752,Energy
753,NATI,753,Technology
754,ALA.TO,754,Utilities
755,SITE,755,Industrials
756,PSEC-PA,756,Financial Services
757,WCP.TO,757,Energy
758,CIGI.TO,758,Real Estate
759,BLD,759,Industrials
760,TOL,760,Consumer Cyclical
761,CHH,761,Consumer Cyclical
762,PR,762,Energy
763,PII,763,Consumer Cyclical
764,BIPC.TO,764,Utilities
765,AN,765,Consumer Cyclical
766,NTNX,766,Technology
767,REI-UN.TO,767,Real Estate
768,DXC,768,Technology
769,CHX,769,Energy
770,BBD-B.TO,770,Industrials
771,AMKR,771,Technology
772,NVEI.TO,772,Technology
773,NVST,773,Healthcare
774,MUR,774,Energy
775,SLG-PI,775,Real Estate
776,MAT,776,Consumer Cyclical
777,MKSI,777,Technology
778,TKR,778,Industrials
779,TIT.BR,779,Communication Services
780,VVV,780,Energy
781,CMC,781,Basic Materials
782,NTRA,782,Healthcare
783,AYI,783,Industrials
784,PDCE,784,Energy
785,BC,785,Consumer Cyclical
786,HXL,786,Industrials
787,STWD,787,Real Estate
788,HALO,788,Healthcare
789,THC,789,Healthcare
790,CPRI,790,Consumer Cyclical
791,SWN,791,Energy
792,WWE,792,Communication Services
793,MLCO,793,Consumer Cyclical
794,XP,794,Financial Services
795,MEDP,795,Healthcare
796,PBF,796,Energy
797,ONEX.TO,797,Financial Services
798,ALK,798,Industrials
799,VRT,799,Industrials
800,CYBR,800,Technology
801,AGNC,801,Real Estate
802,M,802,Consumer Cyclical
803,STAG,803,Real Estate
804,IPGP,804,Technology
805,WWD,805,Industrials
806,COUP,806,Technology
807,ESTC,807,Technology
808,ROIV,808,Healthcare
809,GTLS,809,Industrials
810,OSK,810,Industrials
811,GIL,811,Consumer Cyclical
812,LNW,812,Consumer Cyclical
813,ATKR,813,Industrials
814,OPCH,814,Healthcare
815,MP,815,Basic Materials
816,AQUA,816,Industrials
817,SNV,817,Financial Services
818,GWRE,818,Technology
819,SBSW,819,Basic Materials
820,CHRD,820,Energy
821,MGY,821,Energy
822,DISH,822,Communication Services
823,FOUR,823,Technology
824,SMAR,824,Technology
825,WTS,825,Industrials
826,TXG,826,Healthcare
827,NYCB,827,Financial Services
828,CIVI,828,Energy
829,SRC,829,Real Estate
830,TREX,830,Industrials
831,SLAB,831,Technology
832,CACC,832,Financial Services
833,VLY,833,Financial Services
834,VAC,834,Consumer Cyclical
835,AMG,835,Financial Services
836,COV.PA,836,Real Estate
837,CRUS,837,Technology
838,COHR,838,Technology
839,FSK,839,Financial Services
840,APG,840,Industrials
841,FAF,841,Financial Services
842,FR.PA,842,Consumer Cyclical
843,UNVR,843,Basic Materials
844,AGI.TO,844,Basic Materials
845,PNFP,845,Financial Services
846,HUN,846,Basic Materials
847,EEFT,847,Technology
848,AIT,848,Industrials
849,WTFC,849,Financial Services
850,ATI,850,Industrials
851,WIX,851,Technology
852,EXLS,852,Technology
853,CSAN,853,Energy
854,IAA,854,Industrials
855,CPG.TO,855,Energy
856,HGV,856,Consumer Cyclical
857,ENLC,857,Energy
858,IIVI,858,Technology
859,RIG,859,Energy
860,CC,860,Basic Materials
861,RJF-PA,861,
862,IGT,862,Consumer Cyclical
863,RJF-PB,863,
864,NOVT,864,Technology
865,FIX,865,Industrials
866,UBSI,866,Financial Services
867,SOFI,867,Financial Services
868,BPYPO,868,Real Estate
869,UFPI,869,Basic Materials
870,FLR,870,Industrials
871,DRH-PA,871,Real Estate
872,RUN,872,Technology
873,EXP,873,Basic Materials
874,LNC,874,Financial Services
